Parameter,Sub-Category,N (Stage I),% (Stage I),Mean (Stage I),N (Stage II),% (Stage II),Mean (Stage II),Value,P,Test Note
Age (year),,15,,45.7,7,,63.57,2.507,0.012,1
Gender,Male,10,66.7,,3,42.9,,1.068,0.376,2
Gender,Female,5,33.3,,4,57.1,,,,
Fever(> 38.2 ºC),Yes ,7,46.7,,6,85.7,,2.874,0.165,2
Fever(> 38.2 ºC),No,8,53.3,,1,14.3,,,,
Nausea/vomiting,Yes,6,40,,6,85.7,,3.84,0.074,2
Nausea/vomiting,No,9,60,,1,14.3,,,,
Diarrhea,Yes,3,20,,5,71.4,,5.207,0.052,2
Diarrhea,No,12,80,,2,28.6,,,,
Bottom right Abdominal Pain,Yes,11,73.3,,1,14.3,,6.407,0.02,2
Bottom right Abdominal Pain,No,4,26.7,,6,85.7,,,,
Generalized pain,Yes,4,26.7,,6,85.7,,6.407,0.02,2
Generalized pain,No,11,73.3,,1,14.3,,,,
Duration of pain (day),,15,,1.87,7,,3.43,2.271,0.023,1
Leucocyte Count (μl),,15,,12040,7,,17401,2.152,0.031,1
CRP (mg/dl),,15,,4.76,7,,14.68,2.153,0.031,1
