Characteristic,Non-Antibiotic Before (N),Antibiotic Before (N),P Value Before,Non-Antibiotic After (N),Antibiotic After (N),P Value After,Standardized Difference
Sex (male/female),3145/2916,70001/55874,<0.0001,3145/2916,3159/2902,0.81,0.0046
"Mean age (SD), years",65.8(18.1),52.5(17.5),<0.0001,65.8(18.1),65.4(18.0),0.27,0.022
Age categories,,,<0.0001,,,1,
≥80 years,1643,9892,,1643,1638,,0.0019
70−79 years,1342,14159,,1342,1345,,0.0012
60−69 years,1347,21293,,1347,1355,,0.002
<60 years,1729,80531,,1729,1723,,0.0023
Race,,,<0.0001,,,1,
White,5901,122865,,5901,5909,,0.0021
Black,155,2705,,155,153,,0.0076
Others,5,305,,5,,,
Smoking status,,,<0.0001,,,0.99,
Never/Unknown,5612,118506,,5612,5616,,0.001
Current/Former,449,7369,,449,445,,0.0051
Alcohol use,,,<0.0001,,,0.99,
No/Unknown,5613,118913,,5613,5619,,0.0015
Yes,448,6962,,448,442,,0.0049
Socioeconomic status,,,<0.0001,,,0.7,
Low,1001,23010,,1001,1006,,0.0015
Middle,4025,83907,,4025,4005,,0.0031
High,1035,18958,,1035,1050,,0.0047
CCI score,,,<0.0001,,,0.25,
0,2112,40016,,2112,2117,,0.0008
1,1733,37511,,1733,1720,,0.0027
≥2,2216,48348,,2216,2224,,0.0016
Comorbidities,,,<0.0001,,,0.98,
Diabetes,955,23028,,955,951,,0.0014
Hypertension,2103,41751,,2103,2115,,0.0019
COPD,356,5232,0.0005,356,363,0.73,0.0047
Chronic kidney disease,534,9232,0.0011,534,537,0.91,0.0013
Anemia (iron deficiency/vitamin B12/folic acid),1259,29067,<0.0001,1259,1260,0.98,0.0003
Stroke/TIA/Cerebral hemorrhage,133,1652,0.0003,133,124,0.67,0.0042
Ischemic heart disease,853,17549,<0.0001,853,844,0.73,0.0033
Congestive heart failure,360,5607,0.0003,360,356,0.85,0.0024
PVD (peripheral vascular disease),174,3070,0.0015,174,166,0.69,0.0044
Atypical pneumonia,44,879,0.019,44,48,0.71,0.0039
Tuberculosis,19,438,0.11,19,23,0.66,0.0048
Osteoporosis,710,14242,<0.0001,710,704,0.87,0.0021
Depression,308,4952,0.0025,308,295,0.71,0.0049
" Malignancy (solid, non-localized)",278,3458,<0.0001,278,274,0.9,0.0032
Malignancy (metastatic),19,297,0.22,19,11,0.2,0.027
Aquired immunodeficiency syndrome,1,28,1,1,0,1,0.018
Brinkman index,,,<0.0001,,,0.97,
BI<400,4288,90371,,4288,4320,,0.0012
400≤BI<600,365,9336,,365,355,,0.007
600≤BI<1200,556,10929,,556,548,,0.0046
1200≤BI,189,2575,,189,181,,0.0077
Academic hospital (yes/no),257/5804,6063/119812,0.039,257/5804,259/5802,0.96,0.0016
