Lesion_ID,ground_truth,EXPERT_1,EXPERT_2,EXPERT_3,EXPERT_4,BEGINNER_1,BEGINNER_2,BEGINNER_3,BINARY_EXPERT_1,BINARY_EXPERT_2,BINARY_EXPERT_3,BINARY_EXPERT_4,BINARY_BEGINNER_1,BINARY_BEGINNER_2,BINARY_BEGINNER_3
serrated_8,serrated,serrated,adenoma,serrated,adenoma,serrated,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
adenoma_2,adenoma,hyperplasic,serrated,hyperplasic,hyperplasic,serrated,serrated,serrated,no-resection,resection,no-resection,no-resection,resection,resection,resection
adenoma_3,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
adenoma_4,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
adenoma_5,adenoma,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,adenoma,serrated,no-resection,no-resection,no-resection,no-resection,no-resection,resection,resection
adenoma_6,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,hyperplasic,resection,resection,resection,resection,resection,resection,no-resection
adenoma_7,adenoma,adenoma,adenoma,adenoma,adenoma,serrated,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
adenoma_8,adenoma,serrated,serrated,serrated,serrated,serrated,adenoma,serrated,resection,resection,resection,resection,resection,resection,resection
adenoma_9,adenoma,adenoma,serrated,hyperplasic,adenoma,serrated,serrated,serrated,resection,resection,no-resection,resection,resection,resection,resection
adenoma_10,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
adenoma_11,adenoma,adenoma,adenoma,hyperplasic,adenoma,adenoma,adenoma,adenoma,resection,resection,no-resection,resection,resection,resection,resection
adenoma_12,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
adenoma_13,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
adenoma_14,adenoma,serrated,serrated,adenoma,adenoma,serrated,adenoma,serrated,resection,resection,resection,resection,resection,resection,resection
adenoma_15,adenoma,adenoma,adenoma,serrated,adenoma,adenoma,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
adenoma_16,adenoma,serrated,serrated,serrated,serrated,serrated,serrated,serrated,resection,resection,resection,resection,resection,resection,resection
adenoma_17,adenoma,adenoma,adenoma,adenoma,hyperplasic,adenoma,adenoma,hyperplasic,resection,resection,resection,no-resection,resection,resection,no-resection
hyperplasic_3,hyperplasic,hyperplasic,hyperplasic,hyperplasic,serrated,hyperplasic,hyperplasic,hyperplasic,no-resection,no-resection,no-resection,resection,no-resection,no-resection,no-resection
adenoma_19,adenoma,hyperplasic,hyperplasic,hyperplasic,hyperplasic,adenoma,adenoma,serrated,no-resection,no-resection,no-resection,no-resection,resection,resection,resection
adenoma_20,adenoma,serrated,adenoma,serrated,serrated,serrated,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
hyperplasic_2,hyperplasic,hyperplasic,hyperplasic,hyperplasic,serrated,hyperplasic,serrated,serrated,no-resection,no-resection,no-resection,resection,no-resection,resection,resection
adenoma_22,adenoma,serrated,adenoma,adenoma,serrated,adenoma,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
hyperplasic_15,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,serrated,hyperplasic,hyperplasic,no-resection,no-resection,no-resection,no-resection,resection,no-resection,no-resection
adenoma_24,adenoma,hyperplasic,serrated,serrated,serrated,serrated,adenoma,hyperplasic,no-resection,resection,resection,resection,resection,resection,no-resection
adenoma_25,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
adenoma_26,adenoma,adenoma,serrated,serrated,serrated,serrated,serrated,serrated,resection,resection,resection,resection,resection,resection,resection
adenoma_27,adenoma,adenoma,hyperplasic,adenoma,adenoma,adenoma,adenoma,adenoma,resection,no-resection,resection,resection,resection,resection,resection
adenoma_28,adenoma,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,adenoma,hyperplasic,no-resection,no-resection,no-resection,no-resection,no-resection,resection,no-resection
adenoma_29,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
hyperplasic_1,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,no-resection,no-resection,no-resection,no-resection,no-resection,no-resection,no-resection
adenoma_21,adenoma,adenoma,adenoma,adenoma,adenoma,serrated,adenoma,serrated,resection,resection,resection,resection,resection,resection,resection
adenoma_18,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
hyperplasic_4,hyperplasic,hyperplasic,hyperplasic,serrated,hyperplasic,hyperplasic,adenoma,hyperplasic,no-resection,no-resection,resection,no-resection,no-resection,resection,no-resection
hyperplasic_5,hyperplasic,hyperplasic,hyperplasic,serrated,hyperplasic,hyperplasic,hyperplasic,hyperplasic,no-resection,no-resection,resection,no-resection,no-resection,no-resection,no-resection
hyperplasic_6,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,no-resection,no-resection,no-resection,no-resection,no-resection,no-resection,no-resection
hyperplasic_7,hyperplasic,adenoma,hyperplasic,adenoma,adenoma,adenoma,adenoma,adenoma,resection,no-resection,resection,resection,resection,resection,resection
hyperplasic_8,hyperplasic,serrated,adenoma,hyperplasic,adenoma,serrated,adenoma,serrated,resection,resection,no-resection,resection,resection,resection,resection
serrated_5,serrated,adenoma,serrated,serrated,adenoma,serrated,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
serrated_7,serrated,serrated,hyperplasic,serrated,serrated,hyperplasic,serrated,hyperplasic,resection,no-resection,resection,resection,no-resection,resection,no-resection
hyperplasic_11,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,adenoma,adenoma,hyperplasic,no-resection,no-resection,no-resection,no-resection,resection,resection,no-resection
hyperplasic_12,hyperplasic,hyperplasic,adenoma,hyperplasic,hyperplasic,serrated,adenoma,hyperplasic,no-resection,resection,no-resection,no-resection,resection,resection,no-resection
