Characteristic,N_nonAntibiotic,N_Antibiotic,p_value,Male,Female,Academic_hospital,nonAcademic_hospital
Sex (male/female),,,0.0001,,,,
"Mean age (SD), years",65.8,52.5,0.0001,,,,
Age categories,,,0.0001,,,,
≥80 years,1643.0,9892.0,,,,,
70−79 years,1342.0,14159.0,,,,,
60−69 years,1347.0,21293.0,,,,,
<60 years,1729.0,80531.0,,,,,
Race,,,0.0001,,,,
White,5901.0,122865.0,,,,,
Black,155.0,2705.0,,,,,
Others,5.0,305.0,,,,,
Smoking status,,,0.0001,,,,
Never/Unknown,5612.0,118506.0,,,,,
Current/Former,449.0,7369.0,,,,,
Alcohol use,,,0.0001,,,,
No/Unknown,5613.0,118913.0,,,,,
Yes,448.0,6962.0,,,,,
Socioeconomic status,,,0.0001,,,,
Low,1001.0,23010.0,,,,,
Middle,4025.0,83907.0,,,,,
High,1035.0,18958.0,,,,,
CCI score,,,0.0001,,,,
0,2112.0,40016.0,,,,,
1,1733.0,37511.0,,,,,
≥2,2216.0,48348.0,,,,,
Comorbidities,,,0.0001,,,,
Diabetes,955.0,23028.0,,,,,
Hypertension,2103.0,41751.0,,,,,
COPD,356.0,5232.0,0.0005,,,,
Chronic kidney disease,534.0,9232.0,0.0011,,,,
Anemia (iron deficiency/vitamin B12/folic acid),1259.0,29067.0,0.0001,,,,
Stroke/TIA/Cerebral hemorrhage,133.0,1652.0,0.0003,,,,
Ischemic heart disease,853.0,17549.0,0.0001,,,,
Congestive heart failure,360.0,5607.0,0.0003,,,,
PVD (peripheral vascular disease),174.0,3070.0,0.0015,,,,
Atypical pneumonia,44.0,879.0,0.019,,,,
Tuberculosis,19.0,438.0,0.11,,,,
Osteoporosis,710.0,14242.0,0.0001,,,,
Depression,308.0,4952.0,0.0025,,,,
" Malignancy (solid, non-localized)",278.0,3458.0,0.0001,,,,
Malignancy (metastatic),19.0,297.0,0.22,,,,
Aquired immunodeficiency syndrome,1.0,28.0,1,,,,
Brinkman index,,,0.0001,,,,
BI<400,4288.0,90371.0,,,,,
400≤BI<600,365.0,9336.0,,,,,
600≤BI<1200,556.0,10929.0,,,,,
1200≤BI,189.0,2575.0,,,,,
Academic hospital (yes/no),,,0.039,,,,
